21845,N,402,2,03/18/2026 12:17:10,14898,N
47476,N,402,2,03/01/2026 11:12:56,40,N
46161,N,402,2,02/01/2026 09:13:36,50,Y
5359,N,402,2,02/22/2026 11:07:26,100,N
22511,N,402,0,03/02/2026 18:23:27,17,Y
7138,N,402,2,03/29/2026 18:31:47,39900,N
13093,N,402,2,04/05/2026 19:49:00,4385000,N
6368,N,402,2,03/08/2026 16:44:04,629,N
19878,N,402,2,01/31/2026 14:52:35,800,N
13743,N,402,2,01/29/2026 17:37:58,499,N
13743,Y,402,1,01/29/2026 20:22:32,6800,N
49238,N,402,0,01/30/2026 23:20:53,5000,N
49238,Y,402,0,01/30/2026 23:20:53,5492,N
46246,N,402,2,02/03/2026 16:45:02,2795,N
43557,N,402,2,01/31/2026 20:59:31,19000,N
47190,Y,402,0,01/31/2026 10:12:40,549999,N
47191,Y,402,0,01/31/2026 10:12:46,442918,N
47192,Y,402,0,01/31/2026 10:12:50,649604,N
43312,Y,402,0,01/31/2026 10:12:58,60000,N
7958,N,402,2,02/03/2026 02:09:47,695495,N
48142,N,402,2,02/02/2026 16:19:09,333,N
27291,N,402,1,01/31/2026 14:31:22,30,Y
23875,N,402,2,02/16/2026 22:13:25,73,N
20530,N,402,2,02/04/2026 17:29:11,460,N
19853,N,402,2,03/02/2026 15:15:24,499,N
20000,N,402,2,03/23/2026 18:38:15,31,N
41761,N,402,2,02/22/2026 14:57:14,300,N
41757,N,402,2,02/22/2026 14:35:04,305,N
49244,Y,402,0,02/08/2026 18:46:34,3496,N
4570,N,402,0,02/14/2026 00:04:22,1014,N
48161,N,402,0,03/18/2026 19:45:10,173999,N
41781,N,402,2,02/22/2026 14:10:12,716,N
41768,N,402,2,02/22/2026 14:57:26,250,N
41774,N,402,1,02/22/2026 14:57:09,500,N
41770,N,402,2,02/22/2026 14:34:56,449,N
41776,N,402,2,02/22/2026 14:14:16,3000,N
41766,N,402,1,02/22/2026 15:05:56,8899,Y
19921,N,402,2,02/21/2026 20:56:03,1,N
19936,N,402,0,03/08/2026 10:10:28,500,N
5291,N,402,2,03/17/2026 14:05:15,4,N
5825,N,402,0,02/22/2026 15:01:40,499,N
5051,N,402,2,03/01/2026 03:57:08,100,N
19861,N,402,0,03/08/2026 10:11:14,1199,Y
19985,N,402,2,03/07/2026 18:01:48,50,N
8697,N,402,0,02/21/2026 11:47:16,8999,N
19860,N,402,2,02/22/2026 20:00:34,39,N
5197,N,402,0,03/02/2026 20:15:44,99,N
5435,N,402,0,03/02/2026 20:15:59,400,N
3556,N,402,2,03/10/2026 11:36:44,14,N
5174,N,402,0,03/05/2026 19:55:58,98,N
5174,Y,402,0,03/05/2026 19:55:58,3000,N
4452,Y,402,0,03/05/2026 19:55:56,14000,N
11927,N,402,0,03/05/2026 19:56:49,30000,N
11927,Y,402,0,03/05/2026 19:56:49,34994,N
11883,N,402,0,03/05/2026 19:57:49,60000,N
11883,Y,402,0,03/05/2026 19:57:49,59999,N
5436,N,402,0,03/07/2026 19:06:51,479,N
5296,N,402,0,03/07/2026 21:37:52,379,N
5345,N,402,0,03/07/2026 19:07:27,615,N
5300,N,402,0,03/07/2026 19:07:37,101,N
5334,N,402,0,03/07/2026 21:43:25,200,N
5334,Y,402,0,03/07/2026 21:43:25,150,N
37484,N,402,0,03/18/2026 19:45:05,25000,N
19932,N,402,2,04/08/2026 17:43:18,290,N
19873,N,402,1,03/25/2026 19:03:02,12,Y
